lga_id,lga,state,zone,lon,lat,area_km2
59680162B83394095212312,Funakaye,Gombe,North East,11.4405,10.8131,1283.2
59680162B67606782034303,Katsina-Ala,Benue,North Central,9.5646,7.2948,2466.9
59680162B23155718085687,Mokwa,Niger,North Central,5.2608,9.1955,3912.4
59680162B9128777704300,Aba South,Abia,South East,7.3488,5.0775,37.9
59680162B83278495681126,Edati,Niger,North Central,5.6346,9.0256,1055.8
59680162B50359341822283,Odogbolu,Ogun,South West,3.7652,6.7916,519.3
59680162B30817931145163,Balanga,Gombe,North East,11.7024,9.8211,1535.9
59680162B36139632039116,Ijebu North East,Ogun,South West,4.0099,6.8793,146.2
59680162B20372712773645,Oturkpo,Benue,North Central,8.1277,7.2918,1392.7
59680162B64112154685735,Abi,Cross River,South South,8.0346,5.8841,238.3
59680162B2351853936587,Ideato North,Imo,South East,7.116,5.852,207.0
59680162B70922239420655,Oriade,Osun,South West,4.8665,7.5604,436.6
59680162B27389948970996,Illela,Sokoto,North West,5.3098,13.6706,1030.7
59680162B11133908611483,Nwangele,Imo,South East,7.1256,5.701,72.3
59680162B92942987363648,Ife East,Osun,South West,4.5809,7.3891,273.6
59680162B73921161942586,Obanliku,Cross River,South South,9.4036,6.4693,1011.4
59680162B32871052171758,Onuimo,Imo,South East,7.2438,5.7749,91.7
59680162B7635361694273,Qua'An Pan,Plateau,North Central,9.1223,8.7723,2637.6
59680162B61451583552190,Ngor-Okpala,Imo,South East,7.1459,5.3306,526.5
59680162B85361781814064,Ona Ara,Oyo,South West,4.0567,7.2537,321.0
59680162B31217574251855,Igbo-Eze North,Enugu,South East,7.459,7.0046,276.1
59680162B46226733150895,Oju,Benue,North Central,8.3234,6.8736,1175.7
59680162B7029176012538,Boluwaduro,Osun,South West,4.8186,7.9244,170.0
59680162B85493721249292,Shinkafi,Zamfara,North West,6.3682,13.0393,928.1
59680162B44850901768514,Orsu,Imo,South East,6.9891,5.8555,66.1
59680162B92640548002056,Anaocha,Anambra,South East,7.0189,6.0992,113.9
59680162B86980115162892,Bekwarra,Cross River,South South,8.8918,6.7102,342.4
59680162B46179290363212,Umu-Nneochi,Abia,South East,7.3925,5.9586,356.1
59680162B83455285452940,Ose,Ondo,South West,5.7237,7.0499,1472.3
59680162B73952515985037,Nnewi North,Anambra,South East,6.8962,6.0242,68.7
